Disease,Synonyms,icd10_regex,Onset Acute,Onset Chronic,Diarrhea Watery,Diarrhea Bloody,Diarrhea Fatty,Fever,Abdominal Pain,Weight Loss,Oral mucosal lesions,Hepatosplenomegaly,Nausea or Vomiting,Dehydration,Abdominal Distention,Abdominal Tenderness,Blood on Rectal Examination,Fecal Incontinence,Abnormal Bowel Sounds
Plesiomonas,Plesiomonas shigelloides enteritis,^A048\d*$,1,-1,1,1,-1,1,1,-1,0,0,0,0,0,1,0,0,1
Pseudomembranous enterocolitis,C. difficile colitis; Clostridioides difficile infection,^A047\d*$,1,-1,1,0,-1,1,1,0,0,0,0,0,1,1,0,0,0
Radiation enteritis,radiation gastroenteritis; radiation colitis,^K520$,1,1,1,1,1,-1,1,1,0,0,0,0,0,1,0,0,0
Rotavirus,rotaviral enteritis,^A080$,1,-1,1,-1,-1,1,-1,-1,0,0,0,0,0,1,0,0,1
Salmonellosis,salmonella enteritis; salmonella infection,^A02\d*$,1,1,1,1,-1,1,1,-1,0,1,0,0,1,1,0,0,0
Shigellosis,bacillary dysentery; shigella infection,^A03\d*$,1,-1,1,1,-1,1,1,-1,0,0,0,0,1,1,0,0,1
Short bowel syndrome,short gut syndrome,^K9082\d*$,1,1,1,-1,1,-1,-1,1,0,0,0,0,1,1,0,0,0
Small bowel bacterial overgrowth,SIBO; intestinal microbial overgrowth,^K63821\d*$,-1,1,1,-1,1,-1,1,1,0,0,0,0,1,0,0,0,0
Somatostatinoma,somatostatin-secreting tumor; pancreatic neuroendocrine tumor,^C254$,-1,1,1,-1,-1,-1,1,1,0,0,0,0,0,1,0,0,0
Systemic sclerosis,scleroderma,^M34\d*$,-1,1,1,0,1,-1,1,1,0,0,0,0,0,1,0,0,0
Tropical sprue,tropical malabsorption,^K901$,1,1,1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0
Ulcerative colitis,UC,^K51\d*$,-1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0
Vibrio cholera,cholera,^A00\d*$,1,-1,1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0
VIPoma,vasoactive intestinal peptide tumor; Verner-Morrison syndrome,^C254$,1,1,1,-1,1,-1,1,1,0,0,1,0,1,1,0,0,0
Whipple's disease,Whipple disease,^K9081$,-1,1,1,-1,1,0,1,1,0,1,0,0,0,0,0,0,0
Yersinia enterocolitica,yersiniosis; Yersinia enteritis,^A046\d*$,1,-1,1,1,-1,1,1,-1,0,0,0,0,1,1,0,0,1
Zollinger-Ellison syndrome,gastrinoma; hypergastrinemia,^E164$,-1,1,1,1,1,-1,1,1,0,0,0,0,0,1,0,0,0
