Disease,Synonyms,icd10_regex,Onset Acute,Onset Subacute,Onset Chronic,Duration Minutes,Duration Hours,Duration Days,Duration Weeks to Years,Duration Variable,Quality Sharp,Quality Dull,Quality Pressure,Quality Burning,Quality Tightness,Quality Stabbing,Quality Heaviness,Quality Squeezing,Location Central Chest,Location Left Chest,Location Pleuritic-side / side of lesion,Location Epigastric/Upper abdomen,Location Chest wall / musculoskeletal,Location Back,Location Joints,Cough,Fever,Dyspnea,Weight Loss
Psoriatic arthritis,PsA; psoriatic arthropathy; arthritis psoriatica,^L405\d*$,0,0,1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1
Pulmonary Embolism,PE; lung blood clot; blood clot-lung; embolism-pulmonary,^I26\d*$,1,0,0,1,1,-1,-1,-1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,-1
Pulmonary Hypertension,Hypertensive pulmonary vascular disease; pulmonary arterial hypertension; PAH; hypertensive pulmonary vascular disease; Ayerza syndrome; Ayerza's syndrome; Ayerza-Arrilaga syndrome,^I27\d*$,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,1,-1
Pulmonary Malignancy,Bronchogenic carcinoma; Carcinoma of the lung; Pulmonary carcinoma,^C34\d*$,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Relapsing polychondritis,Relapsing chondritis; polychondritis; RP,^M941$,0,0,1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
Rheumatoid arthritis,Rheumatoid disease,^(M05\d*|M06\d*)$,0,0,1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1
Sarcoidosis,Besnier-Boeck disease; Besnier-Boeck-Schaumann disease; Sarcoid; Uveoparotid fever; Loefgren's syndrome,^D86\d*$,0,0,1,-1,-1,1,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1
Sliding Hiatal Hernia,Hiatal hernia,^K449$,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-1,1,-1
Spontaneous sternoclavicular subluxation,Sternoclavicular subluxation; SC joint subluxation; sternoclavicular joint instability; atraumatic SC joint subluxation,^S432\d*$,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,-1,-1
Stable Angina,Stenocardia; angina pectoris; angor pectoris,^I208\d*|I209\d*$,1,0,0,1,-1,-1,-1,-1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,-1,-1,0,-1
Sternalis syndrome,Sternalis muscle syndrome; anterior chest wall pain syndrome; musculoskeletal sternal pain,^R0789$,0,0,1,1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1
Sternocostoclavicular hyperostosis,SAPHO syndrome,^M048$,0,0,1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1,-1,-1
Stress (takotsubo) Cardiomyopathy,Takotsubo cardiomyopathy; Tako-tsubo syndrome; left ventricular apical ballooning syndrome; LVABS; ampulla-shaped cardiomyopathy; broken heart syndrome; transient apical dysfunction; stress-induced cardiomyopathy; SIC,^I5181$,1,0,0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,1,-1
Substance abuse (Cocaine),Cocaine use disorder; cocaine intoxication; crack cocaine use; stimulant (cocaine) abuse,^F14\d*$,1,0,0,1,1,-1,-1,-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
Systemic lupus erythematosus,SLE; Lupus erythematosus; Systemic lupus; Lupus; Disseminated lupus erythematosus; Discoid lupus; Cutaneous lupus erythematosus,^M32\d*$,0,0,1,-1,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1
Tietze's syndrome,Tietze syndrome; costochondral junction syndrome; costosternal chondritis (Tietze),^M940$,1,0,0,-1,-1,-1,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,-1,-1
Tracheitis/ Bronchitis,Bacterial tracheitis; acute bacterial tracheitis; Inflammation of bronchus,^(J041\d*|J20\d*|J40)$,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,-1
Unstable Angina,Angina at rest; rest angina; progressive angina; crescendo angina; accelerating angina; new-onset angina; pre-infarction angina; unstable angina pectoris; UAP; UA; new-onset angina; angina - unstable,^I200$,1,0,0,1,-1,-1,-1,-1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,-1,-1,1,-1
Vasospastic/ Prinzmetal/ Variant Angina,Variant angina; angina inversa; vasospastic angina,^I201$,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,-1,-1,1,-1
Xiphoidalgia,Xiphodynia; xiphoid syndrome; xiphoid pain syndrome,^R0789$,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1
